time,X,Y,Theta
0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.24,0.0
0.0,0.0,0.28,0.0
0.0,0.0,0.32,0.0
0.0,0.0,0.36,0.0
0.0,0.0,0.4,0.0
0.0,0.0,0.44,0.0
0.0,0.0,0.48,0.0
0.0,0.0,0.52,0.0
0.0,0.0,0.56,0.0
0.0,0.0,0.6,0.0
0.0,0.0,0.64,0.0
0.0,0.0,0.68,0.0
0.0,0.0,0.72,0.0
0.0,0.0,0.76,0.0
0.0,0.0,0.8,0.0
0.0,0.0,0.84,0.0
0.0,0.0,0.88,0.0
0.0,0.0,0.92,0.0
0.0,0.0,0.96,0.0
0.0,0.0,1.0,0.0
0.0,0.04,0.0,0.0
0.0,0.04,0.04,0.0
0.0,0.04,0.08,0.0
0.0,0.04,0.12,0.0
0.0,0.04,0.16,0.0
0.0,0.04,0.2,0.0
0.0,0.04,0.24,0.0
0.0,0.04,0.28,0.0
0.0,0.04,0.32,0.0
0.0,0.04,0.36,0.0
0.0,0.04,0.4,0.0
0.0,0.04,0.44,0.0
0.0,0.04,0.48,0.0
0.0,0.04,0.52,0.0
0.0,0.04,0.56,0.0
0.0,0.04,0.6,0.0
0.0,0.04,0.64,0.0
0.0,0.04,0.68,0.0
0.0,0.04,0.72,0.0
0.0,0.04,0.76,0.0
0.0,0.04,0.8,0.0
0.0,0.04,0.84,0.0
0.0,0.04,0.88,0.0
0.0,0.04,0.92,0.0
0.0,0.04,0.96,0.0
0.0,0.04,1.0,0.0
0.0,0.08,0.0,0.0
0.0,0.08,0.04,0.0
0.0,0.08,0.08,0.0
0.0,0.08,0.12,0.0
0.0,0.08,0.16,0.0
0.0,0.08,0.2,0.0
0.0,0.08,0.24,0.0
0.0,0.08,0.28,0.0
0.0,0.08,0.32,0.0
0.0,0.08,0.36,0.0
0.0,0.08,0.4,0.0
0.0,0.08,0.44,0.0
0.0,0.08,0.48,0.0
0.0,0.08,0.52,0.0
0.0,0.08,0.56,0.0
0.0,0.08,0.6,0.0
0.0,0.08,0.64,0.0
0.0,0.08,0.68,0.0
0.0,0.08,0.72,0.0
0.0,0.08,0.76,0.0
0.0,0.08,0.8,0.0
0.0,0.08,0.84,0.0
0.0,0.08,0.88,0.0
0.0,0.08,0.92,0.0
0.0,0.08,0.96,0.0
0.0,0.08,1.0,0.0
0.0,0.12,0.0,0.0
0.0,0.12,0.04,0.0
0.0,0.12,0.08,0.0
0.0,0.12,0.12,0.0
0.0,0.12,0.16,0.0
0.0,0.12,0.2,0.0
0.0,0.12,0.24,0.0
0.0,0.12,0.28,0.0
0.0,0.12,0.32,0.0
0.0,0.12,0.36,0.0
0.0,0.12,0.4,0.0
0.0,0.12,0.44,0.0
0.0,0.12,0.48,0.0
0.0,0.12,0.52,0.0
0.0,0.12,0.56,0.0
0.0,0.12,0.6,0.0
0.0,0.12,0.64,0.0
0.0,0.12,0.68,0.0
0.0,0.12,0.72,0.0
0.0,0.12,0.76,0.0
0.0,0.12,0.8,0.0
0.0,0.12,0.84,0.0
0.0,0.12,0.88,0.0
0.0,0.12,0.92,0.0
0.0,0.12,0.96,0.0
0.0,0.12,1.0,0.0
0.0,0.16,0.0,0.0
0.0,0.16,0.04,0.0
0.0,0.16,0.08,0.0
0.0,0.16,0.12,0.0
0.0,0.16,0.16,0.0
0.0,0.16,0.2,0.0
0.0,0.16,0.24,0.0
0.0,0.16,0.28,0.0
0.0,0.16,0.32,0.0
0.0,0.16,0.36,0.0
0.0,0.16,0.4,0.0
0.0,0.16,0.44,0.0
0.0,0.16,0.48,0.0
0.0,0.16,0.52,0.0
0.0,0.16,0.56,0.0
0.0,0.16,0.6,0.0
0.0,0.16,0.64,0.0
0.0,0.16,0.68,0.0
0.0,0.16,0.72,0.0
0.0,0.16,0.76,0.0
0.0,0.16,0.8,0.0
0.0,0.16,0.84,0.0
0.0,0.16,0.88,0.0
0.0,0.16,0.92,0.0
0.0,0.16,0.96,0.0
0.0,0.16,1.0,0.0
0.0,0.2,0.0,0.0
0.0,0.2,0.04,0.0
0.0,0.2,0.08,0.0
0.0,0.2,0.12,0.0
0.0,0.2,0.16,0.0
0.0,0.2,0.2,0.0
0.0,0.2,0.24,0.0
0.0,0.2,0.28,0.0
0.0,0.2,0.32,0.0
0.0,0.2,0.36,0.0
0.0,0.2,0.4,0.0
0.0,0.2,0.44,0.0
0.0,0.2,0.48,0.0
0.0,0.2,0.52,0.0
0.0,0.2,0.56,0.0
0.0,0.2,0.6,0.0
0.0,0.2,0.64,0.0
0.0,0.2,0.68,0.0
0.0,0.2,0.72,0.0
0.0,0.2,0.76,0.0
0.0,0.2,0.8,0.0
0.0,0.2,0.84,0.0
0.0,0.2,0.88,0.0
0.0,0.2,0.92,0.0
0.0,0.2,0.96,0.0
0.0,0.2,1.0,0.0
0.0,0.24,0.0,0.0
0.0,0.24,0.04,0.0
0.0,0.24,0.08,0.0
0.0,0.24,0.12,0.0
0.0,0.24,0.16,0.0
0.0,0.24,0.2,0.0
0.0,0.24,0.24,0.0
0.0,0.24,0.28,0.0
0.0,0.24,0.32,0.0
0.0,0.24,0.36,0.0
0.0,0.24,0.4,0.0
0.0,0.24,0.44,0.0
0.0,0.24,0.48,0.0
0.0,0.24,0.52,0.0
0.0,0.24,0.56,0.0
0.0,0.24,0.6,0.0
0.0,0.24,0.64,0.0
0.0,0.24,0.68,0.0
0.0,0.24,0.72,0.0
0.0,0.24,0.76,0.0
0.0,0.24,0.8,0.0
0.0,0.24,0.84,0.0
0.0,0.24,0.88,0.0
0.0,0.24,0.92,0.0
0.0,0.24,0.96,0.0
0.0,0.24,1.0,0.0
0.0,0.28,0.0,0.0
0.0,0.28,0.04,0.0
0.0,0.28,0.08,0.0
0.0,0.28,0.12,0.0
0.0,0.28,0.16,0.0
0.0,0.28,0.2,0.0
