time,X,Y,Theta
0.0,0.0,0.0,0.022136174
0.0,0.04,0.0,0.019706205
0.0,0.08,0.0,0.0170272
0.0,0.12,0.0,0.014131486
0.0,0.16,0.0,0.011085503
0.0,0.2,0.0,0.007940885
0.0,0.24,0.0,0.004775375
0.0,0.28,0.0,0.001681447
0.0,0.32,0.0,-0.0012391917
0.0,0.36,0.0,-0.003909625
0.0,0.4,0.0,-0.0062526055
0.0,0.44,0.0,-0.008188013
0.0,0.48,0.0,-0.009633668
0.0,0.52,0.0,-0.010505535
0.0,0.56,0.0,-0.010713428
0.0,0.6,0.0,-0.010166459
0.0,0.64,0.0,-0.008767705
0.0,0.68,0.0,-0.00640906
0.0,0.72,0.0,-0.0029896721
0.0,0.76,0.0,0.0016075559
0.0,0.8,0.0,0.0075154714
0.0,0.84,0.0,0.014836613
0.0,0.88,0.0,0.023629772
0.0,0.92,0.0,0.033845812
0.0,0.96,0.0,0.045216106
0.0,1.0,0.0,0.057648774
0.0,0.0,0.04,0.021808904
0.0,0.04,0.04,0.019359875
0.0,0.08,0.04,0.016666621
0.0,0.12,0.04,0.013763443
0.0,0.16,0.04,0.010711238
0.0,0.2,0.04,0.0075641833
0.0,0.24,0.04,0.004401166
0.0,0.28,0.04,0.0013231114
0.0,0.32,0.04,-0.0015815161
0.0,0.36,0.04,-0.004238572
0.0,0.4,0.04,-0.006570235
0.0,0.44,0.04,-0.008497436
0.0,0.48,0.04,-0.009937361
0.0,0.52,0.04,-0.010808036
0.0,0.56,0.04,-0.011017904
0.0,0.6,0.04,-0.010475591
0.0,0.64,0.04,-0.00908424
0.0,0.68,0.04,-0.0067362413
0.0,0.72,0.04,-0.0033315867
0.0,0.76,0.04,0.0012400709
0.0,0.8,0.04,0.0071209036
0.0,0.84,0.04,0.014418311
0.0,0.88,0.04,0.023204215
0.0,0.92,0.04,0.033451308
0.0,0.96,0.04,0.044875167
0.0,1.0,0.04,0.05736604
0.0,0.0,0.08,0.021481019
0.0,0.04,0.08,0.019014351
0.0,0.08,0.08,0.016303025
0.0,0.12,0.08,0.013388444
0.0,0.16,0.08,0.010327473
0.0,0.2,0.08,0.007171225
0.0,0.24,0.08,0.0040160865
0.0,0.28,0.08,0.0009534173
0.0,0.32,0.08,-0.001935754
0.0,0.36,0.08,-0.0045788586
0.0,0.4,0.08,-0.0068992823
0.0,0.44,0.08,-0.008816794
0.0,0.48,0.08,-0.010250263
0.0,0.52,0.08,-0.011117876
0.0,0.56,0.08,-0.011328645
0.0,0.6,0.08,-0.01079008
0.0,0.64,0.08,-0.009404995
0.0,0.68,0.08,-0.007066082
0.0,0.72,0.08,-0.003673926
0.0,0.76,0.08,0.00087669864
0.0,0.8,0.08,0.0067313053
0.0,0.84,0.08,0.014007159
0.0,0.88,0.08,0.022782424
0.0,0.92,0.08,0.03305431
0.0,0.96,0.08,0.04453325
0.0,1.0,0.08,0.057083208
0.0,0.0,0.12,0.021152057
0.0,0.04,0.12,0.018669292
0.0,0.08,0.12,0.015941683
0.0,0.12,0.12,0.013011366
0.0,0.16,0.12,0.009938534
0.0,0.2,0.12,0.0067814887
0.0,0.24,0.12,0.0036342964
0.0,0.28,0.12,0.0005790666
0.0,0.32,0.12,-0.0022995323
0.0,0.36,0.12,-0.004929945
0.0,0.4,0.12,-0.0072382838
0.0,0.44,0.12,-0.009146258
0.0,0.48,0.12,-0.010572538
0.0,0.52,0.12,-0.011434875
0.0,0.56,0.12,-0.011645302
0.0,0.6,0.12,-0.011109784
0.0,0.64,0.12,-0.009730123
0.0,0.68,0.12,-0.007399626
0.0,0.72,0.12,-0.0040188916
0.0,0.76,0.12,0.0005163923
0.0,0.8,0.12,0.0063471533
0.0,0.84,0.12,0.013603173
0.0,0.88,0.12,0.022367302
0.0,0.92,0.12,0.032654673
0.0,0.96,0.12,0.044190418
0.0,1.0,0.12,0.05680034
0.0,0.0,0.16,0.020822428
0.0,0.04,0.16,0.018324431
0.0,0.08,0.16,0.015582066
0.0,0.12,0.16,0.012637414
0.0,0.16,0.16,0.009549696
0.0,0.2,0.16,0.0064001866
0.0,0.24,0.16,0.0032611378
0.0,0.28,0.16,0.00021404773
0.0,0.32,0.16,-0.0026588663
0.0,0.36,0.16,-0.005284518
0.0,0.4,0.16,-0.007586118
0.0,0.44,0.16,-0.0094850585
0.0,0.48,0.16,-0.010903418
0.0,0.52,0.16,-0.011759877
0.0,0.56,0.16,-0.011967555
0.0,0.6,0.16,-0.0114341825
0.0,0.64,0.16,-0.010058984
0.0,0.68,0.16,-0.007736258
0.0,0.72,0.16,-0.004366055
0.0,0.76,0.16,0.00015569106
0.0,0.8,0.16,0.0059668124
0.0,0.84,0.16,0.013203844
0.0,0.88,0.16,0.021955922
0.0,0.92,0.16,0.032250606
0.0,0.96,0.16,0.04384669
0.0,1.0,0.16,0.056518167
0.0,0.0,0.2,0.02049192
0.0,0.04,0.2,0.017980106
0.0,0.08,0.2,0.01522379
0.0,0.12,0.2,0.0122676715
